Region,Crop,Emotion,Post_Text,Date,Sentiment_Score,Price,Demand_Index,Temperature,Rainfall
Gujarat,Wheat,Positive,wilt,04-03-2025,0,4562.48,136,34.81,10.91
Maharashtra,Pulses,Positive,pest attack,24-01-2025,1,4731.54,63,31.22,14.32
Gujarat,Pulses,Happy,borer,31-05-2025,1,5221.2,157,36.12,13.96
Telangana,Sugarcane,Neutral,blight,28-03-2025,0,3715.47,95,36.95,12.07
Punjab,Rice,Angry,healthy crop,01-02-2025,-1,9636.1,110,25.86,12.57
Punjab,Soybean,Happy,disease,12-01-2025,-1,7374.23,50,37.11,17.33
Tamil Nadu,Sugarcane,Angry,aphid,11-02-2025,-1,5449.37,74,34.04,13.67
Karnataka,Maize,Happy,infection,29-04-2025,1,5954.09,141,33.76,4.39
Telangana,Rice,Happy,pest attack,22-03-2025,0,5808.15,122,37.53,6.29
Gujarat,Millets,Fear,borer,06-02-2025,1,5003.49,131,30.78,14.94
Tamil Nadu,Pulses,Optimistic,blight,05-02-2025,-1,6448.5,46,37.22,3.06
Andhra Pradesh,Pulses,Negative,rust,08-04-2025,1,7364.83,92,39.42,17.22
Karnataka,Wheat,Sad,aphid,29-01-2025,1,5186.13,60,39.08,17.52
Telangana,Maize,Negative,wilt,13-06-2025,-1,6413.86,87,35.25,10.79
Punjab,Rice,Optimistic,borer,05-01-2025,-1,3610.48,79,24.79,4.82
Maharashtra,Wheat,Negative,borer,18-01-2025,-1,9639.35,56,22.57,9.51
Maharashtra,Maize,Sad,healthy crop,05-06-2025,0,5961.97,119,35.11,13.8
Gujarat,Sugarcane,Fear,aphid,23-04-2025,0,9297.3,81,24.49,6.76
Maharashtra,Cotton,Happy,pest attack,19-01-2025,0,7954.89,58,38.11,17.19
Karnataka,Cotton,Sad,borer,24-02-2025,-1,6529.97,113,31.52,4.86
Tamil Nadu,Pulses,Happy,disease,25-01-2025,0,7612.88,102,29.34,14.58
Gujarat,Wheat,Positive,rust,28-03-2025,-1,8482.29,64,23.8,8.97
Tamil Nadu,Maize,Sad,borer,05-03-2025,-1,9006.32,110,21.96,13.04
Maharashtra,Rice,Negative,blight,12-02-2025,0,5844.9,101,38.05,3.29
Karnataka,Pulses,Sad,borer,15-03-2025,0,5961.05,150,31.12,14.37
Andhra Pradesh,Cotton,Sad,blight,15-01-2025,1,7262.7,155,26.27,1
Tamil Nadu,Maize,Positive,healthy crop,21-01-2025,-1,8845.69,48,33.5,4.7
Karnataka,Cotton,Positive,no issue,21-01-2025,0,5934.57,116,26.33,5.22
Gujarat,Soybean,Happy,wilt,12-04-2025,0,3916.15,108,26.32,15.04
Karnataka,Rice,Angry,no issue,25-05-2025,-1,9858.02,67,30.12,2.65
Telangana,Wheat,Happy,aphid,14-03-2025,0,4104.23,140,26.05,19.68
Punjab,Rice,Sad,disease,04-02-2025,-1,4573.32,135,31.06,5.45
Maharashtra,Cotton,Optimistic,blight,25-06-2025,-1,7286.87,102,25.02,18.16
Karnataka,Wheat,Fear,wilt,12-01-2025,1,3279.04,141,39.6,3.23
Tamil Nadu,Pulses,Positive,disease,20-01-2025,1,9853.56,79,30.91,16.69
Maharashtra,Maize,Fear,infection,11-01-2025,1,5437.6,65,37.98,4.2
Andhra Pradesh,Wheat,Optimistic,healthy crop,15-04-2025,0,9816.86,80,37.29,19.52
Punjab,Maize,Fear,pest attack,15-02-2025,-1,7989.51,92,36.04,17.28
Punjab,Cotton,Sad,infection,29-06-2025,0,3756.67,110,24.45,16.33
Tamil Nadu,Soybean,Sad,blight,27-02-2025,0,3165.65,92,25.57,1.39
Punjab,Sugarcane,Optimistic,healthy crop,13-04-2025,-1,7487.89,82,38.78,2.31
Telangana,Maize,Sad,pest attack,28-01-2025,0,7176,150,26.27,12.12
Maharashtra,Wheat,Fear,no issue,18-02-2025,-1,4541.3,40,30.4,16.13
Gujarat,Cotton,Optimistic,rust,18-01-2025,1,9926.28,139,26.28,16.96
Gujarat,Sugarcane,Sad,rust,25-03-2025,-1,5657.67,56,23.84,13.3
Tamil Nadu,Maize,Sad,rust,21-05-2025,0,8836.08,76,28.6,11.6
Gujarat,Soybean,Angry,borer,24-04-2025,0,7729.39,144,23.39,1.7
Maharashtra,Soybean,Negative,blight,22-06-2025,0,5172.94,68,20.49,4.9
Tamil Nadu,Wheat,Angry,rust,11-06-2025,0,7029.7,99,29.89,4.88
Gujarat,Rice,Negative,rust,26-02-2025,-1,3939.61,106,29.29,11.15
Punjab,Wheat,Angry,infection,29-04-2025,1,7970.62,136,26.35,15.11
Tamil Nadu,Pulses,Angry,infection,02-05-2025,1,6400.84,141,25.55,15.55
Tamil Nadu,Cotton,Sad,borer,20-01-2025,1,8141.71,102,26.39,10.8
Andhra Pradesh,Maize,Happy,rust,27-06-2025,1,4212.43,113,28.15,10.85
Tamil Nadu,Rice,Happy,rust,10-04-2025,0,9333.87,139,20.39,17.61
Maharashtra,Pulses,Angry,pest attack,01-04-2025,1,5268.29,113,30.76,14.69
Punjab,Cotton,Angry,blight,11-03-2025,-1,5945.05,83,33.38,15.96
Gujarat,Maize,Angry,infection,09-06-2025,-1,6457.48,115,31.29,0.54
Gujarat,Pulses,Neutral,borer,16-02-2025,-1,3176.17,67,29.09,6.75
Tamil Nadu,Sugarcane,Fear,wilt,21-01-2025,0,6292.15,56,40,7
Gujarat,Wheat,Positive,pest attack,05-03-2025,0,4395.52,69,24.77,9.47
Karnataka,Cotton,Angry,wilt,05-04-2025,-1,3953.07,135,34.37,15.56
Andhra Pradesh,Sugarcane,Negative,no issue,07-01-2025,1,9717.37,108,27.93,14.3
Karnataka,Cotton,Negative,wilt,25-06-2025,0,7202.88,122,35.65,6.94
Tamil Nadu,Soybean,Negative,healthy crop,15-06-2025,-1,5118.7,102,22.11,19.22
Gujarat,Millets,Neutral,rust,15-02-2025,0,8136.57,84,32.32,18.39
Punjab,Millets,Angry,rust,01-06-2025,-1,4608.43,51,25.58,9.02
Punjab,Millets,Fear,aphid,08-01-2025,1,6625.15,122,24.24,15.96
Telangana,Sugarcane,Sad,healthy crop,03-01-2025,-1,6478.18,70,34.4,9.77
Punjab,Cotton,Angry,borer,25-04-2025,1,8669.14,88,28.09,4.87
Gujarat,Soybean,Angry,healthy crop,16-05-2025,1,5705.63,130,26.62,14.06
Telangana,Sugarcane,Sad,blight,31-01-2025,-1,7885.88,135,30.72,15.24
Andhra Pradesh,Cotton,Happy,borer,12-03-2025,-1,7776.77,107,31.94,19.61
Punjab,Cotton,Sad,blight,03-04-2025,1,4358.92,128,22.53,0.91
Karnataka,Sugarcane,Neutral,borer,27-01-2025,1,9323.85,120,29.57,6.81
Karnataka,Sugarcane,Angry,disease,17-01-2025,1,5919.77,140,33.73,3.03
Punjab,Sugarcane,Negative,blight,31-01-2025,1,7089.75,136,35.81,4.51
Maharashtra,Pulses,Angry,borer,18-03-2025,-1,8723.16,79,31.37,1.2
Gujarat,Wheat,Happy,blight,09-03-2025,0,7623,72,31.04,3.13
Tamil Nadu,Millets,Angry,wilt,09-01-2025,-1,4378.94,129,37.19,1.42
Andhra Pradesh,Sugarcane,Happy,rust,30-01-2025,1,7041.46,94,36.53,1.43
Andhra Pradesh,Sugarcane,Sad,borer,01-02-2025,0,6280.89,101,38.85,10.01
Tamil Nadu,Millets,Negative,no issue,11-01-2025,0,9225.96,127,25.01,1.83
Gujarat,Rice,Sad,no issue,11-01-2025,-1,8206.72,106,33.03,18.32
Andhra Pradesh,Pulses,Angry,disease,01-05-2025,0,5435.73,135,22.09,3.22
Tamil Nadu,Millets,Sad,rust,21-05-2025,0,3256.88,82,26.47,19.4
Tamil Nadu,Rice,Angry,rust,14-01-2025,1,4485.43,156,29.97,8.84
Karnataka,Cotton,Sad,healthy crop,03-02-2025,0,9493.71,139,29.69,0.58
Gujarat,Cotton,Neutral,wilt,22-05-2025,1,3277.32,88,39.85,18.26
Tamil Nadu,Wheat,Neutral,borer,16-03-2025,0,6562.1,111,39.6,4.87
Maharashtra,Maize,Fear,blight,03-06-2025,-1,6281.82,48,25.52,15.8
Tamil Nadu,Soybean,Sad,pest attack,14-03-2025,1,8349.85,134,39.98,9.79
